链接地址, 标题, 时间
https://gy.nwnu.edu.cn//2024/0531/c6534a230988/page.htm, 知术乐商讲坛第二十九讲‖西北大学管理学院李纯青教授为我院作学术报告, 2024-05-31
https://gy.nwnu.edu.cn//2024/0426/c6534a228764/page.htm, 知术乐商讲坛第二十八讲‖中央财经大学商学院王震教授为我院作学术报告, 2024-04-18
https://gy.nwnu.edu.cn//2024/0426/c6534a228752/page.htm, 商学院教师参加2024年教育部人文社科项目申报专家论证会, 2024-04-18
https://gy.nwnu.edu.cn//2024/0415/c6534a227849/page.htm, 商赢未来讲坛第九讲‖2022级研究生杜安南、邵柏寒作研究成果分享, 2024-04-15
https://gy.nwnu.edu.cn//2024/0411/c6534a227594/page.htm, 知术乐商讲坛第二十七讲‖兰州大学管理学院工商管理专业博士研究生张超博士为我院作学术报告, 2024-04-11
https://gy.nwnu.edu.cn//2024/0324/c6534a226253/page.htm, 知术乐商讲坛第二十六讲|大陆桥集团总裁李龙为我院师生作人工智能专题讲座, 2024-03-24
https://gy.nwnu.edu.cn//2024/0308/c6534a225484/page.htm, 商学院教师参加2024年国家自然科学基金项目申报专家论证会, 2024-03-08
https://gy.nwnu.edu.cn//2023/1220/c6534a223095/page.htm, 知术乐商讲坛第二十五讲‖ 学院举办国家项目申报专家辅导报告会, 2023-12-20
https://gy.nwnu.edu.cn//2023/1220/c6534a223094/page.htm, 知术乐商讲坛第二十四讲‖武汉大学涂乙冬教授来学院作学术报告, 2023-12-20
https://gy.nwnu.edu.cn//2023/1215/c6534a222774/page.htm, 商赢未来讲坛第八讲‖2022级研究生丁乐、李开晗作学术成果汇报, 2023-12-15
https://gy.nwnu.edu.cn//2023/1212/c6534a222564/page.htm, 知术乐商讲坛第二十三讲‖武汉大学邓悦副教授为学院师生作学术报告, 2023-12-12
https://gy.nwnu.edu.cn//2023/1208/c6534a222359/page.htm, 知术乐商讲坛第二十二讲‖兰州大学张国兴教授来学院作学术报告, 2023-12-08
https://gy.nwnu.edu.cn//2023/1211/c6534a222420/page.htm, 商赢未来讲坛第七讲‖2022级研究生李立、张丽荣作学术成果汇报, 2023-12-08
https://gy.nwnu.edu.cn//2023/1206/c6534a222153/page.htm, 知术乐商讲坛第二十一讲‖对外经贸大学李亮教授为学院师生作学术报告, 2023-12-06
